DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2015,    73.8,0: Units,PCNT: %,RA: Reanalysed,,71.8,75.7,5333.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Afghanistan Demographic and Health Survey 2015. Kabul  Afghanistan  Central Statistics Organization,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2015-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    37.0,0: Units,PCNT: %,RA: Reanalysed,,30.9,43.6,289.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2017,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2005,    42.4,0: Units,PCNT: %,RA: Reanalysed,,34.5,50.7,191.4,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2017,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2009,    44.6,0: Units,PCNT: %,RA: Reanalysed,,36.5,53.1,250.3,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2017,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2017,    43.2,0: Units,PCNT: %,RA: Reanalysed,,36.9,49.7,473.6,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2017,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2012,    35.5,0: Units,PCNT: %,RA: Reanalysed,,33.2,38,3067.7,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,République Algérienne Démocratiqe et Populaire enquête par grappes à indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministère de la Santé  de la Population et de la Réforme Hospitalière  2015.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2012-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2019,    36.7,0: Units,PCNT: %,RA: Reanalysed,,34.3,39.2,3005,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête par grappes à indicateurs multiples [MICS] 2019,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2012-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2015,    66.6,0: Units,PCNT: %,RA: Reanalysed,,63.9,69.2,2412.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda  Angola e Rockville  Maryland  EUA  INE  MINSA  MINPLAN e ICF International.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2015,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2011,    39.1,0: Units,PCNT: %,RA: Reanalysed,,35.2,43.1,616271,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta de Indicadores Múltiples por Conglomerados 2011/2012  Informe Final. Buenos Aires  Argentina,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2011-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2019,    53.1,0: Units,PCNT: %,RA: Reanalysed,,47.8,58.4,1229.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta Nacional de Niñas  Niños y Adolescentes (MICS) 2019-2020  Informe de resultados de la encuesta. Buenos Aires  Argentina  UNICEF.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2011-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    23.5,0: Units,PCNT: %,RA: Reanalysed,,18.6,29.3,270.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Armenia demographic and health survey 2000. Demographic and Health Surveys. Calverton  Maryland  National Statistical Service  Ministry of Health  and ORC Macro  2001,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2016,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2005,    26.1,0: Units,PCNT: %,RA: Reanalysed,,19.9,33.5,274.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Armenia demographic and health survey 2005. Demographic and Health Surveys. Calverton  Maryland  National Statistical Service  Ministry of Health  and ORC Macro  2006,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2016,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2010,    28.9,0: Units,PCNT: %,RA: Reanalysed,,23.7,34.8,302.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton  Maryland  National Statistical Service  Ministry of Health  and ICF International  2012,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2016,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2016,    28.7,0: Units,PCNT: %,RA: Reanalysed,,23.2,34.9,312.7,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Armenia Demographic and Health Survey 2015-16. Rockville  Maryland  USA  National Statistical Service  Ministry of Health  and ICF,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2016,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2017,    20.0,0: Units,PCNT: %,RP: Reported,,,,,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Australia National Health Survey 2017-18,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2017-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AZE: Azerbaijan,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    26.2,0: Units,PCNT: %,RA: Reanalysed,,21.8,31.1,374,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Azerbaijan multiple indicator cluster survey 2000 (MICS). Baku  Azerbaijan  United Nations Children's Fund  2001.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AZE: Azerbaijan,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2006,    26.4,0: Units,PCNT: %,RA: Reanalysed,,20.7,33,406,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Azerbaijan Demographic and Health Survey 2006. Demographic and Health Surveys. Calverton  Maryland  USA  State Statistical Committee and Macro International Inc.  2008,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    93.9,0: Units,PCNT: %,ER: External Reanalysis,,,,1278,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh demographic and health survey 1999-2000 (DHS). Dhaka  Bangladesh and Calverton  Maryland  National Institute of Population Research and Training  Mitra and Associates  and ORC Macro  2001,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2004,    95.8,0: Units,PCNT: %,RA: Reanalysed,,94.3,96.9,1225.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh demographic and health survey 2004. Demographic and Health Surveys. Dhaka  Bangladesh and Calverton  Maryland [USA]  NIPORT  Mitra and Associates  and ORC Macro  2005,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2006,    92.7,0: Units,PCNT: %,RA: Reanalysed,,91.8,93.4,6031.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Monitoring the situation of children and women  Bangladesh Multiple Indicator Cluster Survey 2006,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2007,    94.3,0: Units,PCNT: %,RA: Reanalysed,,92.5,95.7,1113.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh demographic and health survey 2007. DHS. Dhaka  Bangladesh and Calverton  Maryland  USA  National Institute of Population Research and Training  Mitra and Associates  and Macro International  2009,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2011,    93.1,0: Units,PCNT: %,RA: Reanalysed,,91.5,94.4,1506,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh demographic and health survey 2011. Demographic and Health Surveys. Dhaka  Bangladesh and Calverton  Maryland  USA  NIPORT  Mitra and Associates  and ICF International  2013,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2013-02,    92.0,0: Units,PCNT: %,RA: Reanalysed,,90.8,93.1,4092.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh 2012-13 multiple indicator cluster survey. Final Report. Dhaka  Bangladesh  Bangladesh Bureau of Statistics and UNICEF Bangladesh  2014.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2013-06,    94.9,0: Units,PCNT: %,RP: Reported,,,,888,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Utilization of Essential Service Delivery (UESD) Survey 2013. Dhaka  National Institute of Population Research and Training (NIPORT)  2014.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    92.0,0: Units,PCNT: %,RA: Reanalysed,,89.8,93.7,1588.7,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh Demographic and Health Survey 2014. Dhaka  Bangladesh  and Rockville  Maryland  USA  NIPORT  Mitra and Associates  and ICF International. 2016,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2018,    91.9,0: Units,PCNT: %,RA: Reanalysed,,90.1,93.3,1631.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh Demographic and Health Survey 2017-18. Dhaka  Bangladesh  and Rockville  Maryland  USA  NIPORT and ICF,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2019,    89.6,0: Units,PCNT: %,RA: Reanalysed,,88.5,90.6,4435.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bangladesh Multiple Indicator Cluster Survey 2019  Survey Findings Report. Dhaka  Bangladesh  Bangladesh Bureau of Statistics (BBS),https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRB: Barbados,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2012,    41.1,0: Units,PCNT: %,RA: Reanalysed,,28.5,55,77.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Barbados multiple indicator cluster survey 2012  Final report (MICS4). Bridgetown  Barbados  BSS  2014.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2012,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2005,    12.6,0: Units,PCNT: %,RA: Reanalysed,,10.3,15.4,643.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Belarus multiple indicator cluster survey 2005  final report. Minsk  Republic of Belarus  Ministry of Statistics and Analysis [Belarus] and Research Institute of Statistics of the MSA [Belarus]  2007,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2012,    17.4,0: Units,PCNT: %,RA: Reanalysed,,13.7,21.7,719.3,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Multiple Indicator Cluster Survey of the Situation of Children and Women in the Republic of Belarus (МИКС4)  2012. Final Report,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2019,    17.4,0: Units,PCNT: %,RA: Reanalysed,,14,21.4,658.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,2019 Belarus Multiple Indicator Cluster Survey  Survey Findings Report. Republic of Belarus  Minsk  National Statistical Committee of the Republic of Belarus and United Nations Children’s Fund (UNICEF).,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2006,    39.7,0: Units,PCNT: %,RA: Reanalysed,,32.5,47.5,166.4,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Multiple indicator cluster survey Belize  2006. UNICEF,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2006-2015,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2011,    45.7,0: Units,PCNT: %,RA: Reanalysed,,40.4,51.1,404.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Belize multiple indicator cluster survey 2011 (MICS). Belize city  Belize  SIB and UNICEF  2012,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2006-2015,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2015,    47.1,0: Units,PCNT: %,RA: Reanalysed,,41.5,52.8,499.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Belize Multiple Indicator Cluster Survey  2015-2016  Final Report. Belmopan  Belize  Statistical Institute of Belize and UNICEF Belize.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2006-2015,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2001,    82.4,0: Units,PCNT: %,RA: Reanalysed,,79.5,84.9,904.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé au Bénin 2001. Demographic and Health Surveys. Calverton  Maryland  USA  Institut National de la Statistique et de l'Analyse Economique et ORC Macro  2002,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1996-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2006,    80.7,0: Units,PCNT: %,RA: Reanalysed,,79,82.3,2879.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé (EDSB-III) - Bénin 2006. Demographic and Health Surveys. Calverton  Maryland  USA   Institut National de la Statistique et de l'Analyse Économique et Macro International Inc.  2007,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1996-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2012,    67.9,0: Units,PCNT: %,RA: Reanalysed,,65.7,70.1,2434,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête Démographique et de Santé (EDSB-IV) 2011-2012,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1996-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    75.3,0: Units,PCNT: %,RA: Reanalysed,,73,77.5,2425.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête par grappes à indicateurs multiples 2014  Rapport  final   Cotonou  Bénin   Institut national de la statistique et de l’analyse économique,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1996-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2018,    68.8,0: Units,PCNT: %,RA: Reanalysed,,66.6,70.9,2398.4,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête Démographique et de Santé au Bénin  2017-2018. Cotonou  Bénin et Rockville  Maryland  USA   INSAE et ICF,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1996-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2010,    80.4,0: Units,PCNT: %,RA: Reanalysed,,77.6,82.9,1234.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bhutan multiple indicator cluster survey (BMIS) 2010. Thimphu  Bhutan  NSB  May 2011,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2010-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2015,    77.4,0: Units,PCNT: %,RA: Reanalysed,,68.5,84.3,279.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,National Nutrition Survey 2015  Nutrition Programme Department of Public Health Ministry of Health Bhutan,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2010-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BOL: Bolivia (Plurinational State of),NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    57.3,0: Units,PCNT: %,RA: Reanalysed,,52.9,61.6,642.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Bolivia Encuesta de Multiples Indicadores por Conglomerados 2000,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1989-2023,M12T23: 12 to 23 months old
