DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COM: Comoros,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    57.5,0: Units,PCNT: %,RA: Reanalysed,,53.5,61.4,955.6,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête a indicateurs multiples (MICS 2000)  Rapport final (1er draft Février 2001). Moroni  Comoros  UNICEF  2001,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1996-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COM: Comoros,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2012,    65.2,0: Units,PCNT: %,RA: Reanalysed,,59.7,70.2,583.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé et à indicateurs multiples aux Comores 2012. Demograohic and Health Surveys and MICS. Rockville  MD 20850  USA   DGSP et ICF International  2014,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1996-2022,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COG: Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2005,    54.2,0: Units,PCNT: %,ER: External Reanalysis,,,,842,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé du Congo 2005. Demographic and Health Surveys. Calverton  Maryland  USA   CNSEE et ORC Macro  2006,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2014,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COG: Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2011,    43.3,0: Units,PCNT: %,RA: Reanalysed,,39.3,47.4,1550.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé du Congo (EDSC-II) 2011-2012. Demographic and Health Surveys. Calverton  Maryland  USA   CNSEE et ICF International  2013,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2014,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COG: Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    32.3,0: Units,PCNT: %,RA: Reanalysed,,29.2,35.7,1707.7,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête par grappes à indicateurs multiples (MICS5 2014-2015)  Rapport final. Brazzaville  Congo   Institut National de la Statistique et UNICEF.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2014,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2011,    39.8,0: Units,PCNT: %,RA: Reanalysed,,32.4,47.6,460.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta de Indicadores Múltiples por Conglomerados  Costa Rica 2011,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2011-2018,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2018,    46.0,0: Units,PCNT: %,RA: Reanalysed,,39.3,52.8,80782.3,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta de Mujeres  Niñez y Adolescencia (EMNA)  Informe de resultados de la encuesta. San José  Costa Rica. 2019,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2011-2018,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2006,    19.8,0: Units,PCNT: %,RA: Reanalysed,,17.2,22.8,1840.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Cuba Multiple Indicator Cluster Survey 2006. New York  United States  United Nations Children's,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2006-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2010,    21.5,0: Units,PCNT: %,RA: Reanalysed,,15.5,29.1,1701.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta de Indicadores Múltiples por Conglomerados 2010/2011,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2006-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    30.7,0: Units,PCNT: %,RA: Reanalysed,,23,39.6,1147.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta de Indicadores Múltiples por Conglomerados  Cuba 2014,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2006-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2019,    24.7,0: Units,PCNT: %,RA: Reanalysed,,20.9,29,1018.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Cuba Encuesta de Indicadores Múltiples por Conglomerados 2019  Informe de resultados de la encuesta. La Habana  Cuba  Dirección de Registros Médicos y Estadísticas de Salud.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2006-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    70.8,0: Units,PCNT: %,RA: Reanalysed,,67.8,73.6,1588.7,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête à Indicateurs Multiples MICS2000  Côte d'Ivoire,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2006,    66.5,0: Units,PCNT: %,RA: Reanalysed,,63.1,69.7,1751.4,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête à indicateurs multiples  Côte d'Ivoire 2006  Rapport final  Abidjan  Côte d'Ivoire   INS  2007,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2012,    64.9,0: Units,PCNT: %,RA: Reanalysed,,60.7,68.8,1354.4,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé et à indicateurs multiples de Côte d'Ivoire 2011-2012. Demographic and Health Surveys and MICS. Calverton  Maryland  USA   INS et ICF International  2012,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2016,    63.1,0: Units,PCNT: %,RA: Reanalysed,,59.7,66.4,1752.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête par grappes à indicateurs multiples - Côte d’Ivoire 2016  Rapport Final  Septembre 2017,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1994-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2001,    73.9,0: Units,PCNT: %,RA: Reanalysed,,71.4,76.3,2059.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête nationale sur la situation des enfants et des femmes MICS2 / 2001. Rapport d'analyse. Kinshasa  République Démocratique du Congo  juillet 2002,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2001-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2007,    80.1,0: Units,PCNT: %,RA: Reanalysed,,76.8,83,1472.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé  République Démocratique du Congo 2007. Demographic and Health Surveys. Calverton  Maryland  U.S.A.  Ministère du Plan et Macro International  2008,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2001-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2010,    69.6,0: Units,PCNT: %,RA: Reanalysed,,66.7,72.3,2384.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête par grappes à indicateurs multiples en République Démocratique du Congo (MICS-RDC 2010). Rapport final  mai 2011. Kinshasa  République Démocratique du Congo  2011,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2001-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2013,    82.0,0: Units,PCNT: %,RA: Reanalysed,,80,83.8,3125.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête démographique et de santé en République Démocratique du Congo 2013-2014. Demographic and Health Surveys. Rockville  Maryland  USA   MPSMRM  MSP et ICF International  2014,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2001-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2017,    69.7,0: Units,PCNT: %,RA: Reanalysed,,66.9,72.5,4287.3,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Enquête par grappes à indicateurs multiples  2017-2018  rapport de résultats de l’enquête. Kinshasa  République Démocratique du Congo,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2001-2023,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    18.2,0: Units,PCNT: %,RA: Reanalysed,,14,23.3,431.1,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta por conglomerados de indicadores multiples (MICS-2000). Santo Domingo  D.N.  Secretariado Técnico de la Presidencia  Fondo de las Naciones Unidas para la Infancia (UNICEF)  2001,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1986-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2002,    21.7,0: Units,PCNT: %,RA: Reanalysed,,19.3,24.3,1869.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta demografica y de salud  ENDESA 2002. Demographic and Health Surveys. Santo Domingo  Republica Dominicana  Centro de Estudios Sociales y Demograficos  2003,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1986-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2007,    22.1,0: Units,PCNT: %,RA: Reanalysed,,19.5,24.9,1790.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta demográfica y de salud 2007. Demographic and Health Surveys. Santo Domingo  República Dominicana  CESDEM y Macro International Inc.  2008,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1986-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2013,    25.2,0: Units,PCNT: %,RA: Reanalysed,,20.9,30,674,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta demográfica y de salud 2013. Demographic and Health Surveys. Santo Domingo  República Dominicana  CESDEM y ICF International  2014,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1986-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    19.9,0: Units,PCNT: %,RA: Reanalysed,,17.9,22.1,3971.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta Nacional de Hogares de Propósitos Múltiples (ENHOGAR-MICS) 2014. New York  United States  United Nations Children's Fund (UNICEF)  2016.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1986-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2019,    21.6,0: Units,PCNT: %,RA: Reanalysed,,18.8,24.6,1727,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta Nacional de Hogares de Propósitos Múltiples (ENHOGAR-MICS) 2019,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1986-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2019,    53.0,0: Units,PCNT: %,RA: Reanalysed,,50.4,55.5,275962,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta Nacional de Salud y Nutrición Ecuador  (ENSANUT-ECU) 2018,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2024,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    62.6,0: Units,PCNT: %,RA: Reanalysed,,60.2,64.9,1975.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Egypt demographic and health survey 2000. Demographic and Health Surveys. Calverton  Maryland  USA  Ministry of Health and Population [Egypt]  National Population Council and ORC Macro  2001,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1988-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2003,    59.7,0: Units,PCNT: %,ER: External Reanalysis,,,,1111,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,2003 Egypt interim demographic and health survey. Demographic and Health Survey. Cairo  Egypt  Ministry of Health and Population [Egypt]  National Population Council  El-Zanaty and Asociates  and ORC Macro  2004,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1988-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2005,    62.8,0: Units,PCNT: %,RA: Reanalysed,,60.5,65.1,2478.3,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Egypt demographic and health survey 2005. Demographic and Health Surveys. Caire  Egypt  Ministry of Health and Population  National Population Council  El-Zanaty and Associates  and ORC Macro  2006,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1988-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2008,    57.1,0: Units,PCNT: %,RA: Reanalysed,,54.6,59.5,2017,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Egypt demographic and health survey 2008. Demographic and Health Surveys. Cairo  Egypt  Ministry of Health  2009,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1988-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    50.5,0: Units,PCNT: %,RA: Reanalysed,,48.3,52.6,2947.7,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Egypt demographic and health survey 2014. Demographic and Health Surveys. Cairo  Egypt and Rockville  Maryland  USA  Ministry of Health and Population and ICF International  2015.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1988-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLV: El Salvador,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    66.8,0: Units,PCNT: %,RA: Reanalysed,,63.7,69.8,1478.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta nacional de salud 2014 - Encuesta de indicadores multiples por conglomerados 2014  Resultados principales. San Salvador  El Salvador  Ministerio de Salud e Instituto Nacional de Salud.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2014,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GNQ: Equatorial Guinea,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    45.3,0: Units,PCNT: %,RA: Reanalysed,,40,50.7,441.5,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta de indicadores multiples (MICS 2000)  Informe final. Malabo  República de Guinea Educatorial Ministerio de Planificación y Desarrollo Económico y UNICEF  2001,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2011,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GNQ: Equatorial Guinea,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2011,    30.8,0: Units,PCNT: %,RP: Reported,,,,455,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Encuesta demográfica y de salud en Guinea Ecuatorial (EDSGE-I). Demographic and Health Surveys. Guinea Ecuatorial y Calverton  Maryland  USA  MSBS  MEPIP e ICF  2012.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2011,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ERI: Eritrea,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2002,    80.9,0: Units,PCNT: %,ER: External Reanalysis,,,,922,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Eritrea demographic and health survey 2002. Demographic and Health Surveys. Calverton  Maryland  USA  National Statistics amd Evaluation Office and ORC Macro  2003,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1995-2010,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ERI: Eritrea,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2010,    86.0,0: Units,PCNT: %,RP: Reported,,,,1272,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Eritrea population and health survey 2010. Asmara  Eritrea  National Statistics Office and Fafo Institute for Applied International Studies  2013.,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1995-2010,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    52.1,0: Units,PCNT: %,RA: Reanalysed,,48.2,56,712,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Multiple indicator cluster survey (MICS)  Model full report. Maseru  Swaziland  Central Statistical Office  2002,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2006,    56.8,0: Units,PCNT: %,RA: Reanalysed,,52.4,61.1,475.8,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Swaziland demographic and health survey 2006-07. Demographic and Health Surveys. Mbabane  Swaziland  Central Statistical Office and Macro International Inc.  2008,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2010,    32.5,0: Units,PCNT: %,RA: Reanalysed,,28.3,37.1,521.2,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Swaziland multiple indicator cluster survey 2010 (MICS)  Final report. Mbabane  Swaziland  Central Statistical Office and UNICEF  2011,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2014,    28.5,0: Units,PCNT: %,RA: Reanalysed,,24.6,32.7,533.4,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Swaziland Multiple Indicator Cluster Survey 2014. Final Report. Mbabane  Swaziland  Central Statistical Office and UNICEF,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2021,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2000,    90.2,0: Units,PCNT: %,RA: Reanalysed,,88.1,92,2071.4,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Ethiopia demographic and health survey 2000. Demographic and Health Surveys. Addis Ababa  Ethiopia and Calverton  Maryland  USA  Central Statistical Authority and ORC Macro  2001,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2019,M12T23: 12 to 23 months old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,NT_BF_CBF_12_23: Continued breastfeeding (12-23 months),_T: Total,2005,    91.4,0: Units,PCNT: %,RA: Reanalysed,,89.5,92.9,1808.9,,UNICEF Global Infant and Young Child Feeding Databases  October 2023,Ethiopia demographic and health survey 2005. Demographic and Health Surveys. Addis Ababa  Ethiopia and Calverton  Maryland  USA  General Statistical Agency and ORC Macro  2006,https://data.unicef.org/topic/nutrition/infant-and-young-child-feeding/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2000-2019,M12T23: 12 to 23 months old
