,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
141,GNQ,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Equatorial Guinea,2012,Sex,5.4 [2.0-10.8],226,1,5.4,2.0,10.8
142,GRC,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Greece,2012,Sex,25.0 [22.9-27.2],300,0,25.0,22.9,27.2
143,GRC,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Greece,2012,Sex,24.0 [21.7-26.2],300,1,24.0,21.7,26.2
144,GRD,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Grenada,2012,Sex,34.1 [29.1-39.2],308,0,34.1,29.1,39.2
145,GRD,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Grenada,2012,Sex,13.9 [10.4-17.9],308,1,13.9,10.4,17.9
146,GRL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Greenland,2012,Sex,26.6 [23.6-29.8],304,0,26.6,23.6,29.8
147,GRL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Greenland,2012,Sex,20.3 [17.5-23.3],304,1,20.3,17.5,23.3
148,GTM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guatemala,2012,Sex,24.3 [22.7-26.0],320,0,24.3,22.7,26.0
149,GTM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guatemala,2012,Sex,15.3 [13.0-17.7],320,1,15.3,13.0,17.7
150,GUY,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guyana,2012,Sex,29.7 [26.6-32.9],328,0,29.7,26.6,32.9
151,GUY,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guyana,2012,Sex,12.6 [10.5-15.0],328,1,12.6,10.5,15.0
152,HND,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Honduras,2012,Sex,27.7 [24.5-31.0],340,0,27.7,24.5,31.0
153,HND,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Honduras,2012,Sex,17.5 [10.8-25.4],340,1,17.5,10.8,25.4
154,HRV,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Croatia,2012,Sex,21.9 [19.8-24.1],191,0,21.9,19.8,24.1
155,HRV,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Croatia,2012,Sex,23.7 [21.3-26.3],191,1,23.7,21.3,26.3
156,HTI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Haiti,2012,Sex,11.3 [9.9-12.9],332,0,11.3,9.9,12.9
157,HTI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Haiti,2012,Sex,5.1 [3.0-8.0],332,1,5.1,3.0,8.0
158,HUN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Hungary,2012,Sex,23.7 [21.5-26.0],348,0,23.7,21.5,26.0
159,HUN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Hungary,2012,Sex,26.4 [23.9-28.9],348,1,26.4,23.9,28.9
160,IDN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Indonesia,2012,Sex,8.8 [7.9-9.8],360,0,8.8,7.9,9.8
161,IDN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Indonesia,2012,Sex,3.1 [2.6-3.6],360,1,3.1,2.6,3.6
162,IND,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",India,2012,Sex,5.5 [5.1-5.9],356,0,5.5,5.1,5.9
163,IND,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",India,2012,Sex,2.8 [2.5-3.1],356,1,2.8,2.5,3.1
164,IRL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ireland,2012,Sex,23.8 [21.7-26.1],372,0,23.8,21.7,26.1
165,IRL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ireland,2012,Sex,26.3 [23.8-28.7],372,1,26.3,23.8,28.7
166,IRN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Iran (Islamic Republic of),2012,Sex,26.4 [25.3-27.5],364,0,26.4,25.3,27.5
167,IRN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Iran (Islamic Republic of),2012,Sex,13.7 [12.8-14.6],364,1,13.7,12.8,14.6
168,IRQ,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Iraq,2012,Sex,40.9 [37.6-44.3],368,0,40.9,37.6,44.3
169,IRQ,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Iraq,2012,Sex,27.0 [23.9-30.2],368,1,27.0,23.9,30.2
170,ISL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Iceland,2012,Sex,17.8 [14.7-21.3],352,0,17.8,14.7,21.3
171,ISL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Iceland,2012,Sex,19.7 [16.7-22.8],352,1,19.7,16.7,22.8
172,ISR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Israel,2012,Sex,22.6 [20.5-24.7],376,0,22.6,20.5,24.7
173,ISR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Israel,2012,Sex,21.1 [19.1-23.2],376,1,21.1,19.1,23.2
174,ITA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Italy,2012,Sex,15.2 [14.0-16.5],380,0,15.2,14.0,16.5
175,ITA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Italy,2012,Sex,16.8 [15.3-18.4],380,1,16.8,15.3,18.4
176,JAM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Jamaica,2012,Sex,38.7 [36.1-41.5],388,0,38.7,36.1,41.5
177,JAM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Jamaica,2012,Sex,13.2 [11.3-15.4],388,1,13.2,11.3,15.4
178,JOR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Jordan,2012,Sex,43.1 [41.5-44.7],400,0,43.1,41.5,44.7
179,JOR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Jordan,2012,Sex,29.9 [27.6-32.2],400,1,29.9,27.6,32.2
180,JPN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Japan,2012,Sex,2.9 [2.7-3.2],392,0,2.9,2.7,3.2
181,JPN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Japan,2012,Sex,4.8 [4.4-5.2],392,1,4.8,4.4,5.2
182,KAZ,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kazakhstan,2012,Sex,19.0 [17.0-21.1],398,0,19.0,17.0,21.1
183,KAZ,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kazakhstan,2012,Sex,12.1 [10.0-14.2],398,1,12.1,10.0,14.2
184,KEN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kenya,2012,Sex,12.2 [10.8-13.6],404,0,12.2,10.8,13.6
185,KEN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kenya,2012,Sex,3.9 [2.8-5.2],404,1,3.9,2.8,5.2
186,KGZ,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kyrgyzstan,2012,Sex,22.4 [19.9-24.9],417,0,22.4,19.9,24.9
187,KGZ,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kyrgyzstan,2012,Sex,17.1 [14.0-20.5],417,1,17.1,14.0,20.5
188,KHM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cambodia,2012,Sex,2.8 [2.4-3.3],116,0,2.8,2.4,3.3
189,KHM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cambodia,2012,Sex,1.6 [1.1-2.2],116,1,1.6,1.1,2.2
190,KIR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kiribati,2012,Sex,51.0 [46.9-54.9],296,0,51.0,46.9,54.9
191,KIR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kiribati,2012,Sex,34.0 [30.1-38.0],296,1,34.0,30.1,38.0
192,KNA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saint Kitts and Nevis,2012,Sex,46.4 [38.5-54.3],659,0,46.4,38.5,54.3
193,KNA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saint Kitts and Nevis,2012,Sex,30.8 [24.1-38.2],659,1,30.8,24.1,38.2
194,KOR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Republic of Korea,2012,Sex,4.0 [3.7-4.3],410,0,4.0,3.7,4.3
195,KOR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Republic of Korea,2012,Sex,4.1 [3.8-4.5],410,1,4.1,3.8,4.5
196,KWT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kuwait,2012,Sex,47.7 [45.8-49.7],414,0,47.7,45.8,49.7
197,KWT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Kuwait,2012,Sex,35.9 [33.9-38.0],414,1,35.9,33.9,38.0
198,LAO,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lao People's Democratic Republic,2012,Sex,6.0 [4.6-7.6],418,0,6.0,4.6,7.6
199,LAO,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lao People's Democratic Republic,2012,Sex,3.4 [2.3-4.7],418,1,3.4,2.3,4.7
200,LBN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lebanon,2012,Sex,26.8 [24.1-29.5],422,0,26.8,24.1,29.5
201,LBN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lebanon,2012,Sex,25.1 [22.2-28.1],422,1,25.1,22.2,28.1
202,LBR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Liberia,2012,Sex,13.6 [12.0-15.2],430,0,13.6,12.0,15.2
203,LBR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Liberia,2012,Sex,6.7 [5.5-8.2],430,1,6.7,5.5,8.2
204,LBY,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Libya,2012,Sex,41.2 [36.5-46.0],434,0,41.2,36.5,46.0
205,LBY,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Libya,2012,Sex,22.8 [18.9-26.9],434,1,22.8,18.9,26.9
206,LCA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saint Lucia,2012,Sex,37.5 [33.9-41.2],662,0,37.5,33.9,41.2
207,LCA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Saint Lucia,2012,Sex,14.3 [11.7-17.0],662,1,14.3,11.7,17.0
208,LKA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sri Lanka,2012,Sex,7.9 [6.9-8.9],144,0,7.9,6.9,8.9
209,LKA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Sri Lanka,2012,Sex,3.4 [2.8-4.1],144,1,3.4,2.8,4.1
210,LSO,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lesotho,2012,Sex,25.7 [23.4-28.1],426,0,25.7,23.4,28.1
211,LSO,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lesotho,2012,Sex,5.0 [4.0-6.1],426,1,5.0,4.0,6.1
212,LTU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lithuania,2012,Sex,23.0 [19.3-26.9],440,0,23.0,19.3,26.9
213,LTU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Lithuania,2012,Sex,22.3 [18.2-26.6],440,1,22.3,18.2,26.6
214,LUX,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Luxembourg,2012,Sex,16.6 [14.2-19.2],442,0,16.6,14.2,19.2
215,LUX,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Luxembourg,2012,Sex,19.8 [17.0-22.6],442,1,19.8,17.0,22.6
216,LVA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Latvia,2012,Sex,22.0 [18.8-25.5],428,0,22.0,18.8,25.5
217,LVA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Latvia,2012,Sex,20.5 [16.8-24.4],428,1,20.5,16.8,24.4
218,MAR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Morocco,2012,Sex,22.7 [20.1-25.3],504,0,22.7,20.1,25.3
219,MAR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Morocco,2012,Sex,10.6 [8.4-13.0],504,1,10.6,8.4,13.0
220,MDA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Republic of Moldova,2012,Sex,26.5 [24.2-28.8],498,0,26.5,24.2,28.8
221,MDA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Republic of Moldova,2012,Sex,18.3 [15.4-21.4],498,1,18.3,15.4,21.4
222,MDG,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Madagascar,2012,Sex,2.4 [1.9-3.0],450,0,2.4,1.9,3.0
223,MDG,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Madagascar,2012,Sex,2.3 [1.3-3.6],450,1,2.3,1.3,3.6
224,MDV,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Maldives,2012,Sex,15.9 [14.0-17.9],462,0,15.9,14.0,17.9
225,MDV,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Maldives,2012,Sex,7.5 [5.9-9.3],462,1,7.5,5.9,9.3
226,MEX,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mexico,2012,Sex,33.6 [32.3-34.8],484,0,33.6,32.3,34.8
227,MEX,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mexico,2012,Sex,24.7 [23.4-26.0],484,1,24.7,23.4,26.0
228,MHL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Marshall Islands,2012,Sex,49.9 [46.0-53.6],584,0,49.9,46.0,53.6
229,MHL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Marshall Islands,2012,Sex,34.3 [30.2-38.2],584,1,34.3,30.2,38.2
230,MKD,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",North Macedonia,2012,Sex,23.4 [17.7-29.7],807,0,23.4,17.7,29.7
231,MKD,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",North Macedonia,2012,Sex,20.7 [11.7-31.5],807,1,20.7,11.7,31.5
232,MLI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mali,2012,Sex,8.5 [7.4-9.8],466,0,8.5,7.4,9.8
233,MLI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mali,2012,Sex,6.7 [4.7-9.1],466,1,6.7,4.7,9.1
234,MLT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Malta,2012,Sex,28.3 [24.1-32.5],470,0,28.3,24.1,32.5
235,MLT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Malta,2012,Sex,32.1 [27.5-36.8],470,1,32.1,27.5,36.8
236,MMR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Myanmar,2012,Sex,6.9 [5.9-7.9],104,0,6.9,5.9,7.9
237,MMR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Myanmar,2012,Sex,3.5 [2.8-4.3],104,1,3.5,2.8,4.3
238,MNE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Montenegro,2012,Sex,14.2 [8.9-20.8],499,0,14.2,8.9,20.8
239,MNE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Montenegro,2012,Sex,15.1 [10.0-20.9],499,1,15.1,10.0,20.9
240,MNG,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mongolia,2012,Sex,20.7 [18.8-22.6],496,0,20.7,18.8,22.6
241,MNG,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mongolia,2012,Sex,14.1 [12.5-15.8],496,1,14.1,12.5,15.8
242,MOZ,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mozambique,2012,Sex,8.4 [7.1-9.7],508,0,8.4,7.1,9.7
243,MOZ,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mozambique,2012,Sex,3.4 [2.4-4.5],508,1,3.4,2.4,4.5
244,MRT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mauritania,2012,Sex,25.3 [21.8-28.8],478,0,25.3,21.8,28.8
245,MRT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mauritania,2012,Sex,6.3 [3.3-10.4],478,1,6.3,3.3,10.4
246,MUS,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mauritius,2012,Sex,21.8 [19.7-24.1],480,0,21.8,19.7,24.1
247,MUS,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Mauritius,2012,Sex,10.9 [9.3-12.6],480,1,10.9,9.3,12.6
248,MWI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Malawi,2012,Sex,6.9 [6.0-7.7],454,0,6.9,6.0,7.7
249,MWI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Malawi,2012,Sex,1.9 [1.3-2.5],454,1,1.9,1.3,2.5
250,MYS,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Malaysia,2012,Sex,19.5 [18.1-20.9],458,0,19.5,18.1,20.9
251,MYS,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Malaysia,2012,Sex,12.7 [11.6-14.0],458,1,12.7,11.6,14.0
252,NAM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Namibia,2012,Sex,19.6 [17.3-22.0],516,0,19.6,17.3,22.0
253,NAM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Namibia,2012,Sex,7.5 [5.4-10.1],516,1,7.5,5.4,10.1
254,NER,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Niger,2012,Sex,5.2 [4.4-6.2],562,0,5.2,4.4,6.2
255,NER,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Niger,2012,Sex,2.6 [1.9-3.6],562,1,2.6,1.9,3.6
256,NGA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nigeria,2012,Sex,11.4 [10.4-12.6],566,0,11.4,10.4,12.6
257,NGA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nigeria,2012,Sex,5.9 [5.0-6.9],566,1,5.9,5.0,6.9
258,NIC,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nicaragua,2012,Sex,32.1 [28.9-35.2],558,0,32.1,28.9,35.2
259,NIC,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nicaragua,2012,Sex,22.3 [15.2-30.4],558,1,22.3,15.2,30.4
260,NIU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Niue,2012,Sex,64.4 [59.0-69.6],570,0,64.4,59.0,69.6
261,NIU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Niue,2012,Sex,57.9 [52.3-63.4],570,1,57.9,52.3,63.4
262,NLD,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Netherlands (Kingdom of the),2012,Sex,14.2 [12.4-16.2],528,0,14.2,12.4,16.2
263,NLD,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Netherlands (Kingdom of the),2012,Sex,13.2 [11.4-15.2],528,1,13.2,11.4,15.2
264,NOR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Norway,2012,Sex,15.4 [13.0-17.9],578,0,15.4,13.0,17.9
265,NOR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Norway,2012,Sex,17.5 [15.1-20.1],578,1,17.5,15.1,20.1
266,NPL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nepal,2012,Sex,4.1 [3.6-4.6],524,0,4.1,3.6,4.6
267,NPL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nepal,2012,Sex,2.6 [2.2-3.1],524,1,2.6,2.2,3.1
268,NRU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nauru,2012,Sex,68.8 [65.3-72.2],520,0,68.8,65.3,72.2
269,NRU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Nauru,2012,Sex,65.7 [61.9-69.3],520,1,65.7,61.9,69.3
270,NZL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",New Zealand,2012,Sex,30.0 [28.6-31.4],554,0,30.0,28.6,31.4
271,NZL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",New Zealand,2012,Sex,28.6 [27.1-30.1],554,1,28.6,27.1,30.1
272,OMN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Oman,2012,Sex,32.4 [29.7-35.2],512,0,32.4,29.7,35.2
273,OMN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Oman,2012,Sex,21.2 [18.8-23.7],512,1,21.2,18.8,23.7
274,PAK,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Pakistan,2012,Sex,15.9 [14.5-17.3],586,0,15.9,14.5,17.3
275,PAK,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Pakistan,2012,Sex,9.7 [8.4-11.1],586,1,9.7,8.4,11.1
276,PAN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Panama,2012,Sex,32.3 [29.3-35.3],591,0,32.3,29.3,35.3
277,PAN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Panama,2012,Sex,20.9 [18.4-23.7],591,1,20.9,18.4,23.7
278,PER,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Peru,2012,Sex,22.5 [21.6-23.4],604,0,22.5,21.6,23.4
279,PER,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Peru,2012,Sex,14.3 [13.4-15.3],604,1,14.3,13.4,15.3
280,PHL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Philippines,2012,Sex,7.1 [6.4-8.0],608,0,7.1,6.4,8.0
281,PHL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Philippines,2012,Sex,4.3 [3.7-4.9],608,1,4.3,3.7,4.9
282,PLW,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Palau,2012,Sex,41.6 [37.9-45.4],585,0,41.6,37.9,45.4
283,PLW,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Palau,2012,Sex,36.8 [32.8-40.8],585,1,36.8,32.8,40.8
284,PNG,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Papua New Guinea,2012,Sex,20.8 [16.7-25.3],598,0,20.8,16.7,25.3
285,PNG,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Papua New Guinea,2012,Sex,13.1 [9.9-16.6],598,1,13.1,9.9,16.6
286,POL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Poland,2012,Sex,20.6 [19.4-21.9],616,0,20.6,19.4,21.9
287,POL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Poland,2012,Sex,23.5 [22.0-25.0],616,1,23.5,22.0,25.0
288,PRI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Puerto Rico,2012,Sex,38.1 [33.4-42.9],630,0,38.1,33.4,42.9
