,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
20,AUT,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Austria,2012,Sex,12.2 [10.4-14.2],40,0,12.2,10.4,14.2
21,AUT,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Austria,2012,Sex,16.1 [14.2-18.1],40,1,16.1,14.2,18.1
22,AZE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Azerbaijan,2012,Sex,29.1 [26.8-31.6],31,0,29.1,26.8,31.6
23,AZE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Azerbaijan,2012,Sex,12.4 [10.3-14.8],31,1,12.4,10.3,14.8
24,BDI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Burundi,2012,Sex,2.6 [1.9-3.3],108,0,2.6,1.9,3.3
25,BDI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Burundi,2012,Sex,3.4 [1.2-7.5],108,1,3.4,1.2,7.5
26,BEL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Belgium,2012,Sex,18.0 [16.0-20.2],56,0,18.0,16.0,20.2
27,BEL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Belgium,2012,Sex,17.6 [15.5-19.6],56,1,17.6,15.5,19.6
28,BEN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Benin,2012,Sex,11.3 [10.1-12.6],204,0,11.3,10.1,12.6
29,BEN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Benin,2012,Sex,4.7 [3.7-5.8],204,1,4.7,3.7,5.8
