,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code
0,AFG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Afghanistan,2022,,0.2,4
1,AGO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Angola,2022,,0.5,24
2,ALB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Albania,2022,,0.9,8
3,AND,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Andorra,2022,,0.3,20
4,ARE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),United Arab Emirates,2022,,1.5,784
5,ARG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Argentina,2022,,0.7,32
6,ARM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Armenia,2022,,0.7,51
7,ATG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Antigua and Barbuda,2022,,0.6,28
8,AUS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Australia,2022,,0.4,36
9,AUT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Austria,2022,,0.3,40
10,BDI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Burundi,2022,,3.3,108
11,BEL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Belgium,2022,,0.1,56
12,BEN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Benin,2022,,0.9,204
13,BFA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Burkina Faso,2022,,1.2,854
14,BGR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bulgaria,2022,,0.9,100
15,BHR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bahrain,2022,,1.1,48
16,BHS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bahamas,2022,,0.6,44
17,BIH,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bosnia and Herzegovina,2022,,0.6,70
18,BLR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Belarus,2022,,2.1,112
19,BLZ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Belize,2022,,0.6,84
20,BOL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bolivia (Plurinational State of),2022,,0.3,68
21,BRA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Brazil,2022,,0.3,76
