,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
20,AZE,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Azerbaijan,2012,Sex,23.6 [13.5-36.6],31,0,23.6,13.5,36.6
21,AZE,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Azerbaijan,2012,Sex,21.4 [12.7-32.4],31,1,21.4,12.7,32.4
22,BDI,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Burundi,2012,Sex,15.6 [3.6-36.2],108,0,15.6,3.6,36.2
23,BDI,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Burundi,2012,Sex,14.5 [5.0-32.7],108,1,14.5,5.0,32.7
24,BEL,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Belgium,2012,Sex,38.9 [32.4-45.9],56,0,38.9,32.4,45.9
25,BEL,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Belgium,2012,Sex,30.6 [25.1-36.6],56,1,30.6,25.1,36.6
26,BEN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Benin,2012,Sex,19.1 [11.2-29.1],204,0,19.1,11.2,29.1
27,BEN,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Benin,2012,Sex,14.9 [8.7-22.7],204,1,14.9,8.7,22.7
28,BFA,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Burkina Faso,2012,Sex,17.7 [12.1-24.3],854,0,17.7,12.1,24.3
29,BFA,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Burkina Faso,2012,Sex,15.2 [10.5-20.6],854,1,15.2,10.5,20.6
30,BGD,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bangladesh,2012,Sex,25.8 [19.2-33.4],50,0,25.8,19.2,33.4
31,BGD,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bangladesh,2012,Sex,15.4 [10.9-20.6],50,1,15.4,10.9,20.6
32,BGR,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Bulgaria,2012,Sex,27.6 [20.1-35.8],100,0,27.6,20.1,35.8
