,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
0,AFG,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Afghanistan,2010,Sex,14.3 [9.3-19.4],4,0,14.3,9.3,19.4
1,AFG,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Afghanistan,2010,Sex,4.9 [2.9-6.9],4,0,4.9,2.9,6.9
2,AFG,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Afghanistan,2010,Sex,23.8 [15.7-31.9],4,1,23.8,15.7,31.9
3,ALB,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Albania,2010,Sex,28.1 [23.2-33.0],8,0,28.1,23.2,33.0
4,ALB,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Albania,2010,Sex,8.3 [6.6-10.1],8,0,8.3,6.6,10.1
5,ALB,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Albania,2010,Sex,47.9 [39.8-55.9],8,1,47.9,39.8,55.9
6,AND,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Andorra,2010,Sex,35.4 [27.3-43.6],20,0,35.4,27.3,43.6
7,AND,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Andorra,2010,Sex,31.6 [24.3-39.0],20,0,31.6,24.3,39.0
8,AND,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Andorra,2010,Sex,39.2 [30.2-48.1],20,1,39.2,30.2,48.1
9,ARE,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),United Arab Emirates,2010,Sex,12.7 [9.1-16.4],784,0,12.7,9.1,16.4
10,ARE,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),United Arab Emirates,2010,Sex,3.0 [2.0-4.0],784,0,3.0,2.0,4.0
11,ARE,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),United Arab Emirates,2010,Sex,22.5 [16.2-28.7],784,1,22.5,16.2,28.7
12,ARG,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Argentina,2010,Sex,28.7 [23.6-33.8],32,0,28.7,23.6,33.8
13,ARG,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Argentina,2010,Sex,23.6 [19.5-27.7],32,0,23.6,19.5,27.7
14,ARG,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Argentina,2010,Sex,33.8 [27.8-39.8],32,1,33.8,27.8,39.8
15,ARM,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Armenia,2010,Sex,30.5 [25.9-35.2],51,0,30.5,25.9,35.2
16,ARM,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Armenia,2010,Sex,2.0 [1.6-2.3],51,0,2.0,1.6,2.3
17,ARM,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Armenia,2010,Sex,59.1 [50.2-68.0],51,1,59.1,50.2,68.0
18,AUS,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Australia,2010,Sex,18.1 [15.3-20.9],36,0,18.1,15.3,20.9
19,AUS,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Australia,2010,Sex,16.1 [13.6-18.5],36,0,16.1,13.6,18.5
20,AUS,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Australia,2010,Sex,20.1 [17.0-23.2],36,1,20.1,17.0,23.2
21,AUT,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Austria,2010,Sex,36.5 [29.0-44.0],40,0,36.5,29.0,44.0
22,AUT,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Austria,2010,Sex,34.6 [27.4-41.8],40,0,34.6,27.4,41.8
23,AUT,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Austria,2010,Sex,38.4 [30.7-46.2],40,1,38.4,30.7,46.2
24,AZE,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Azerbaijan,2010,Sex,25.1 [17.7-32.6],31,0,25.1,17.7,32.6
25,AZE,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Azerbaijan,2010,Sex,0.2 [0.1-0.3],31,0,0.2,0.1,0.3
26,AZE,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Azerbaijan,2010,Sex,50.1 [35.3-64.9],31,1,50.1,35.3,64.9
27,BDI,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Burundi,2010,Sex,11.3 [7.3-15.4],108,0,11.3,7.3,15.4
28,BDI,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Burundi,2010,Sex,2.4 [1.4-3.4],108,0,2.4,1.4,3.4
29,BDI,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Burundi,2010,Sex,20.2 [13.2-27.3],108,1,20.2,13.2,27.3
30,BEL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belgium,2010,Sex,27.0 [22.2-31.8],56,0,27.0,22.2,31.8
31,BEL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belgium,2010,Sex,22.2 [18.0-26.5],56,0,22.2,18.0,26.5
32,BEL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belgium,2010,Sex,31.7 [26.3-37.1],56,1,31.7,26.3,37.1
33,BEN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Benin,2010,Sex,6.9 [5.4-8.5],204,0,6.9,5.4,8.5
34,BEN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Benin,2010,Sex,1.1 [0.7-1.5],204,0,1.1,0.7,1.5
35,BEN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Benin,2010,Sex,12.7 [10.0-15.5],204,1,12.7,10.0,15.5
36,BFA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Burkina Faso,2010,Sex,12.6 [9.8-15.4],854,0,12.6,9.8,15.4
37,BFA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Burkina Faso,2010,Sex,4.3 [2.9-5.8],854,0,4.3,2.9,5.8
38,BFA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Burkina Faso,2010,Sex,20.9 [16.7-25.0],854,1,20.9,16.7,25.0
39,BGD,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bangladesh,2010,Sex,24.0 [20.5-27.5],50,0,24.0,20.5,27.5
40,BGD,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bangladesh,2010,Sex,1.8 [1.4-2.2],50,0,1.8,1.4,2.2
41,BGD,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bangladesh,2010,Sex,46.2 [39.6-52.8],50,1,46.2,39.6,52.8
42,BGR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bulgaria,2010,Sex,41.4 [33.5-49.2],100,0,41.4,33.5,49.2
43,BGR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bulgaria,2010,Sex,33.8 [27.8-39.7],100,0,33.8,27.8,39.7
44,BGR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bulgaria,2010,Sex,49.0 [39.3-58.7],100,1,49.0,39.3,58.7
45,BHR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bahrain,2010,Sex,18.3 [14.1-22.6],48,0,18.3,14.1,22.6
46,BHR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bahrain,2010,Sex,6.2 [4.0-8.4],48,0,6.2,4.0,8.4
47,BHR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bahrain,2010,Sex,30.5 [24.1-36.8],48,1,30.5,24.1,36.8
48,BHS,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bahamas,2010,Sex,11.7 [8.5-15.0],44,0,11.7,8.5,15.0
49,BHS,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bahamas,2010,Sex,3.4 [2.3-4.4],44,0,3.4,2.3,4.4
50,BHS,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bahamas,2010,Sex,20.1 [14.6-25.7],44,1,20.1,14.6,25.7
51,BIH,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bosnia and Herzegovina,2010,Sex,41.9 [31.2-52.6],70,0,41.9,31.2,52.6
52,BIH,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bosnia and Herzegovina,2010,Sex,32.6 [24.6-40.6],70,0,32.6,24.6,40.6
53,BIH,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bosnia and Herzegovina,2010,Sex,51.2 [37.8-64.6],70,1,51.2,37.8,64.6
54,BLR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belarus,2010,Sex,31.3 [26.5-36.0],112,0,31.3,26.5,36.0
55,BLR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belarus,2010,Sex,11.5 [9.5-13.6],112,0,11.5,9.5,13.6
56,BLR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belarus,2010,Sex,51.0 [43.6-58.4],112,1,51.0,43.6,58.4
57,BLZ,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belize,2010,Sex,11.2 [7.9-14.4],84,0,11.2,7.9,14.4
58,BLZ,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belize,2010,Sex,2.5 [1.7-3.3],84,0,2.5,1.7,3.3
59,BLZ,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Belize,2010,Sex,19.8 [14.1-25.6],84,1,19.8,14.1,25.6
60,BOL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bolivia (Plurinational State of),2010,Sex,19.3 [12.4-26.2],68,0,19.3,12.4,26.2
61,BOL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bolivia (Plurinational State of),2010,Sex,11.9 [8.4-15.4],68,0,11.9,8.4,15.4
62,BOL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bolivia (Plurinational State of),2010,Sex,26.6 [16.3-36.9],68,1,26.6,16.3,36.9
63,BRA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Brazil,2010,Sex,17.5 [14.3-20.6],76,0,17.5,14.3,20.6
64,BRA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Brazil,2010,Sex,13.0 [10.7-15.2],76,0,13.0,10.7,15.2
65,BRA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Brazil,2010,Sex,22.0 [17.9-26.0],76,1,22.0,17.9,26.0
66,BRN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Brunei Darussalam,2010,Sex,16.8 [13.2-20.4],96,0,16.8,13.2,20.4
67,BRN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Brunei Darussalam,2010,Sex,3.5 [2.7-4.3],96,0,3.5,2.7,4.3
68,BRN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Brunei Darussalam,2010,Sex,30.1 [23.8-36.5],96,1,30.1,23.8,36.5
69,BTN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bhutan,2010,Sex,10.5 [6.7-14.2],64,0,10.5,6.7,14.2
70,BTN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bhutan,2010,Sex,6.8 [4.3-9.3],64,0,6.8,4.3,9.3
71,BTN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Bhutan,2010,Sex,14.1 [9.1-19.1],64,1,14.1,9.1,19.1
72,BWA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Botswana,2010,Sex,18.5 [14.2-22.7],72,0,18.5,14.2,22.7
73,BWA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Botswana,2010,Sex,6.8 [5.1-8.5],72,0,6.8,5.1,8.5
74,BWA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Botswana,2010,Sex,30.2 [23.4-37.0],72,1,30.2,23.4,37.0
75,CAN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Canada,2010,Sex,19.3 [16.4-22.2],124,0,19.3,16.4,22.2
76,CAN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Canada,2010,Sex,16.8 [14.2-19.4],124,0,16.8,14.2,19.4
77,CAN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Canada,2010,Sex,21.8 [18.5-25.0],124,1,21.8,18.5,25.0
78,CHE,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Switzerland,2010,Sex,26.9 [22.8-31.0],756,0,26.9,22.8,31.0
79,CHE,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Switzerland,2010,Sex,23.1 [19.5-26.8],756,0,23.1,19.5,26.8
80,CHE,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Switzerland,2010,Sex,30.7 [26.1-35.3],756,1,30.7,26.1,35.3
81,CHL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Chile,2010,Sex,37.0 [31.0-43.0],152,0,37.0,31.0,43.0
82,CHL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Chile,2010,Sex,33.9 [28.3-39.5],152,0,33.9,28.3,39.5
83,CHL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Chile,2010,Sex,40.2 [33.8-46.6],152,1,40.2,33.8,46.6
84,CHN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),China,2010,Sex,25.1 [20.7-29.4],156,0,25.1,20.7,29.4
85,CHN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),China,2010,Sex,2.3 [1.9-2.7],156,0,2.3,1.9,2.7
86,CHN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),China,2010,Sex,47.8 [39.4-56.1],156,1,47.8,39.4,56.1
87,CIV,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cote d'Ivoire,2010,Sex,12.6 [8.8-16.3],384,0,12.6,8.8,16.3
88,CIV,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cote d'Ivoire,2010,Sex,1.4 [0.9-1.9],384,0,1.4,0.9,1.9
89,CIV,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cote d'Ivoire,2010,Sex,23.7 [16.7-30.7],384,1,23.7,16.7,30.7
90,CMR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cameroon,2010,Sex,9.3 [7.3-11.3],120,0,9.3,7.3,11.3
91,CMR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cameroon,2010,Sex,0.7 [0.4-0.9],120,0,0.7,0.4,0.9
92,CMR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cameroon,2010,Sex,17.9 [14.2-21.7],120,1,17.9,14.2,21.7
93,COD,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Democratic Republic of the Congo,2010,Sex,12.0 [6.2-17.7],180,0,12.0,6.2,17.7
94,COD,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Democratic Republic of the Congo,2010,Sex,2.6 [1.2-3.9],180,0,2.6,1.2,3.9
95,COD,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Democratic Republic of the Congo,2010,Sex,21.4 [11.2-31.6],180,1,21.4,11.2,31.6
96,COG,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Congo,2010,Sex,12.1 [9.0-15.3],178,0,12.1,9.0,15.3
97,COG,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Congo,2010,Sex,1.7 [1.0-2.4],178,0,1.7,1.0,2.4
98,COG,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Congo,2010,Sex,22.6 [16.9-28.2],178,1,22.6,16.9,28.2
99,COK,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cook Islands,2010,Sex,33.1 [27.0-39.2],184,0,33.1,27.0,39.2
100,COK,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cook Islands,2010,Sex,27.5 [22.4-32.5],184,0,27.5,22.4,32.5
101,COK,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cook Islands,2010,Sex,38.8 [31.7-46.0],184,1,38.8,31.7,46.0
102,COL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Colombia,2010,Sex,11.2 [8.5-13.8],170,0,11.2,8.5,13.8
103,COL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Colombia,2010,Sex,6.2 [4.7-7.7],170,0,6.2,4.7,7.7
104,COL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Colombia,2010,Sex,16.2 [12.4-20.0],170,1,16.2,12.4,20.0
105,COM,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Comoros,2010,Sex,13.0 [10.3-15.8],174,0,13.0,10.3,15.8
106,COM,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Comoros,2010,Sex,4.3 [3.3-5.4],174,0,4.3,3.3,5.4
107,COM,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Comoros,2010,Sex,21.8 [17.2-26.3],174,1,21.8,17.2,26.3
108,CPV,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cabo Verde,2010,Sex,9.9 [7.5-12.3],132,0,9.9,7.5,12.3
109,CPV,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cabo Verde,2010,Sex,3.7 [2.7-4.7],132,0,3.7,2.7,4.7
110,CPV,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cabo Verde,2010,Sex,16.1 [12.3-19.9],132,1,16.1,12.3,19.9
111,CRI,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Costa Rica,2010,Sex,12.4 [10.1-14.7],188,0,12.4,10.1,14.7
112,CRI,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Costa Rica,2010,Sex,6.6 [5.3-7.9],188,0,6.6,5.3,7.9
113,CRI,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Costa Rica,2010,Sex,18.2 [14.9-21.5],188,1,18.2,14.9,21.5
114,CUB,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cuba,2010,Sex,27.3 [21.5-33.1],192,0,27.3,21.5,33.1
115,CUB,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cuba,2010,Sex,17.7 [13.6-21.7],192,0,17.7,13.6,21.7
116,CUB,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cuba,2010,Sex,37.0 [29.4-44.5],192,1,37.0,29.4,44.5
117,CYP,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cyprus,2010,Sex,36.4 [27.4-45.5],196,0,36.4,27.4,45.5
118,CYP,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cyprus,2010,Sex,20.1 [16.0-24.2],196,0,20.1,16.0,24.2
119,CYP,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cyprus,2010,Sex,52.8 [38.8-66.8],196,1,52.8,38.8,66.8
120,CZE,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Czechia,2010,Sex,31.9 [26.9-36.9],203,0,31.9,26.9,36.9
121,CZE,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Czechia,2010,Sex,26.8 [22.6-30.9],203,0,26.8,22.6,30.9
122,CZE,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Czechia,2010,Sex,37.0 [31.2-42.9],203,1,37.0,31.2,42.9
123,DEU,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Germany,2010,Sex,28.7 [24.3-33.1],276,0,28.7,24.3,33.1
124,DEU,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Germany,2010,Sex,25.3 [21.6-29.1],276,0,25.3,21.6,29.1
125,DEU,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Germany,2010,Sex,32.1 [27.1-37.2],276,1,32.1,27.1,37.2
