,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code
0,AFG,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Afghanistan,2022,,1.8,4
1,AGO,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Angola,2022,,7.6,24
2,ALB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Albania,2022,,6.5,8
3,AND,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Andorra,2022,,0.5,20
4,ARE,,Prevalence of chronic hepatitis B (HBV) in the general population (%),United Arab Emirates,2022,,0.9,784
5,ARG,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Argentina,2022,,0.2,32
6,ARM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Armenia,2022,,0.8,51
7,ATG,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Antigua and Barbuda,2022,,1.6,28
8,AUS,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Australia,2022,,0.7,36
9,BDI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Burundi,2022,,2.3,108
10,BEN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Benin,2022,,11.2,204
11,BFA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Burkina Faso,2022,,4.8,854
12,BHR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Bahrain,2022,,0.9,48
13,BHS,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Bahamas,2022,,1.6,44
14,BIH,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Bosnia and Herzegovina,2022,,2.5,70
15,BLR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Belarus,2022,,3.9,112
16,BLZ,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Belize,2022,,1.2,84
17,BOL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Bolivia (Plurinational State of),2022,,0.2,68
18,BRA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Brazil,2022,,0.5,76
19,BRB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Barbados,2022,,1.6,52
20,BRN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Brunei Darussalam,2022,,1.4,96
21,BTN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Bhutan,2022,,1.6,64
22,BWA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Botswana,2022,,5.6,72
23,CAF,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Central African Republic,2022,,11.5,140
24,CHE,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Switzerland,2022,,0.7,756
25,CHL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Chile,2022,,0.1,152
26,CIV,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Cote d'Ivoire,2022,,10.0,384
27,CMR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Cameroon,2022,,11.5,120
28,COD,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Democratic Republic of the Congo,2022,,2.8,180
29,COG,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Congo,2022,,5.5,178
30,COK,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Cook Islands,2022,,5.8,184
31,COL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Colombia,2022,,0.6,170
32,COM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Comoros,2022,,5.0,174
33,CPV,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Cabo Verde,2022,,10.5,132
34,CRI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Costa Rica,2022,,2.0,188
35,CUB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Cuba,2022,,0.6,192
36,DEU,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Germany,2022,,0.3,276
37,DJI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Djibouti,2022,,5.5,262
38,DMA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Dominica,2022,,1.6,212
39,DNK,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Denmark,2022,,0.2,208
40,DOM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Dominican Republic,2022,,1.6,214
41,DZA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Algeria,2022,,1.3,12
42,ECU,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Ecuador,2022,,0.6,218
43,EGY,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Egypt,2022,,1.0,818
44,ERI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Eritrea,2022,,4.6,232
45,ETH,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Ethiopia,2022,,6.2,231
46,FJI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Fiji,2022,,1.7,242
47,FRA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),France,2022,,0.3,250
48,FSM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Micronesia (Federated States of),2022,,7.3,583
49,GAB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Gabon,2022,,5.2,266
50,GEO,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Georgia,2022,,2.4,268
51,GHA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Ghana,2022,,9.0,288
52,GIN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Guinea,2022,,10.0,324
53,GMB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Gambia,2022,,2.3,270
54,GNB,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Guinea-Bissau,2022,,12.3,624
55,GNQ,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Equatorial Guinea,2022,,4.6,226
56,GRC,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Greece,2022,,1.9,300
57,GRD,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Grenada,2022,,1.6,308
58,GTM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Guatemala,2022,,0.6,320
59,GUY,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Guyana,2022,,2.5,328
60,HND,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Honduras,2022,,0.3,340
61,HTI,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Haiti,2022,,1.9,332
62,IDN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Indonesia,2022,,6.4,360
63,IRL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Ireland,2022,,0.4,372
64,IRN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Iran (Islamic Republic of),2022,,1.5,364
65,IRQ,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Iraq,2022,,2.9,368
66,ISL,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Iceland,2022,,0.5,352
67,ISR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Israel,2022,,1.4,376
68,ITA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Italy,2022,,0.5,380
69,JAM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Jamaica,2022,,3.8,388
70,JOR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Jordan,2022,,1.8,400
71,JPN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Japan,2022,,0.8,392
72,KAZ,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Kazakhstan,2022,,2.3,398
73,KEN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Kenya,2022,,4.4,404
74,KGZ,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Kyrgyzstan,2022,,5.3,417
75,KHM,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Cambodia,2022,,3.0,116
76,KIR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Kiribati,2022,,8.0,296
77,KNA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Saint Kitts and Nevis,2022,,1.6,659
78,KOR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Republic of Korea,2022,,2.7,410
79,KWT,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Kuwait,2022,,1.5,414
80,LAO,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Lao People's Democratic Republic,2022,,3.5,418
81,LBN,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Lebanon,2022,,1.3,422
82,LBR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Liberia,2022,,4.3,430
83,LBY,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Libya,2022,,1.6,434
84,LCA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Saint Lucia,2022,,1.6,662
85,LKA,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Sri Lanka,2022,,2.2,144
86,LSO,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Lesotho,2022,,10.5,426
87,MAR,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Morocco,2022,,0.6,504
88,MCO,,Prevalence of chronic hepatitis B (HBV) in the general population (%),Monaco,2022,,0.5,492
